date,state_territory,state,population_estimate,positive_increase,total_tests_viral,positive_cases_viral,total_test_encounters_viral,rate_of_new_cases,rate_of_pcr_tests,percent_positivity,new_case_moving_ave,pcr_test_moving_ave,percent_positivity_moving_ave
2020-07-23,Colorado,CO,5695564,639,NA,38562,585551,11.219257653851312,10280.825568811097,0.06585592032120174,10.035378911929154,10296.434207393684,0.06594798180358875
2020-07-22,Colorado,CO,5695564,493,NA,37947,574162,8.655859191469009,10080.862931221562,0.06609110320780547,9.11987946107833,10094.068697272874,0.06629485818520929
2020-07-21,Colorado,CO,5695564,424,NA,37471,565299,7.444390055137648,9925.250598535984,0.0662852755798259,8.999485012747265,9909.842617367281,0.06662836924001438
2020-07-20,Colorado,CO,5695564,354,NA,37041,552916,6.215363395091338,9707.835782373792,0.06699209283146083,8.886615217436889,9736.64767879002,0.06692023722314319
2020-07-19,Colorado,CO,5695564,444,NA,36698,543670,7.795540529436593,9545.498918105388,0.06750050582154615,8.460218212931027,9559.043293542634,0.06726082167738684
2020-07-18,Colorado,CO,5695564,618,NA,36260,534621,10.85054965583742,9386.620886008832,0.06782374803832995,8.337315546926396,9388.399212339387,0.06760303948892854
2020-07-17,Colorado,CO,5695564,571,NA,35690,525680,10.025346041234899,9229.639066473486,0.0678930147618323,8.099034867937826,9221.683000012943,0.0679363472473935
2020-07-16,Colorado,CO,5695564,469,NA,35126,514742,8.234478622310274,9037.594872079393,0.06824001150090725,8.018771902383781,9065.574040227999,0.06823899640522973
2020-07-15,Colorado,CO,5695564,444,NA,34663,506128,7.795540529436593,8886.354362798837,0.06848662788859736,7.908410324746969,8909.261914811497,0.06856416268542347
2020-07-14,Colorado,CO,5695564,329,NA,34229,498831,5.776425302217656,8758.237112250868,0.06861842988908066,8.028804773078036,8752.947281177321,0.06891377213507616
2020-07-13,Colorado,CO,5695564,322,NA,33911,490677,5.653522636213024,8615.073063879188,0.06911063693631452,7.622473509960685,8590.527645725691,0.06930193946037776
2020-07-12,Colorado,CO,5695564,400,NA,33587,481350,7.023009485978913,8451.314040189875,0.06977666978290226,7.579833809510099,8432.136207857804,0.06971991648402223
2020-07-11,Colorado,CO,5695564,666,NA,33189,472300,11.69331079415489,8292.418450569601,0.07027101418589879,7.487029755588234,8277.464456799813,0.07013656672485216
2020-07-10,Colorado,CO,5695564,409,NA,32546,460925,7.181027199413439,8092.701618312076,0.07061018603894342,7.143403934309981,8125.569302706457,0.07055850414390205
2020-07-09,Colorado,CO,5695564,452,NA,32138,451593,7.936000719156172,7928.854807004188,0.07116585066641866,6.834893160461621,7977.6446571903525,0.07099957295374831
